Ch0_time1 (s),Ch0_amp1 (V),Ch0_width1 (s),Ch0_time2 (s),Ch0_amp2 (V),Ch0_width2 (s),Ch1_time1 (s),Ch1_amp1 (V),Ch1_width1 (s),Ch1_time2 (s),Ch1_amp2 (V),Ch1_width2 (s)
2.656e-06,0.224289,7.009663e-08,0.0,0.0,0.0,2.684e-06,0.089107,5.968843e-08,0.0,0.0,0.0
2.688e-06,0.117314,6.617409e-08,0.0,0.0,0.0,2.72e-06,0.072239,6.327183e-08,0.0,0.0,0.0
2.704e-06,0.072389,5.983013e-08,0.0,0.0,0.0,2.724e-06,0.075328,6.454579e-08,0.0,0.0,0.0
2.712e-06,0.067579,6.357108e-08,0.0,0.0,0.0,2.712e-06,0.244752,7.095711e-08,0.0,0.0,0.0
2.688e-06,0.142695,6.143996e-08,0.0,0.0,0.0,2.724e-06,0.059867,6.648642e-08,0.0,0.0,0.0
2.668e-06,0.292691,5.897485e-08,0.0,0.0,0.0,2.704e-06,0.079449,6.373526e-08,0.0,0.0,0.0
2.684e-06,0.139597,6.477631e-08,0.0,0.0,0.0,2.708e-06,0.081161,5.855527e-08,0.0,0.0,0.0
2.652e-06,0.258018,6.689174e-08,0.0,0.0,0.0,2.68e-06,0.10671,6.733701e-08,0.0,0.0,0.0
2.68e-06,0.178734,6.015804e-08,0.0,0.0,0.0,2.7e-06,0.13262,6.974299e-08,0.0,0.0,0.0
2.644e-06,0.324698,6.916579e-08,0.0,0.0,0.0,2.664e-06,0.4315,7.351604e-08,0.0,0.0,0.0
2.688e-06,0.128407,6.217799e-08,0.0,0.0,0.0,2.708e-06,0.272023,6.819457e-08,0.0,0.0,0.0
2.672e-06,0.176687,6.360554e-08,0.0,0.0,0.0,2.704e-06,0.068182,5.962718e-08,0.0,0.0,0.0
2.68e-06,0.161564,6.402472e-08,0.0,0.0,0.0,2.704e-06,0.107337,6.998342e-08,0.0,0.0,0.0
2.712e-06,0.058601,8.83325e-08,0.0,0.0,0.0,2.732e-06,0.162707,6.628063e-08,0.0,0.0,0.0
2.684e-06,0.112387,6.595763e-08,0.0,0.0,0.0,2.704e-06,0.187433,8.269924e-08,0.0,0.0,0.0
2.648e-06,0.204944,8.179333e-08,0.0,0.0,0.0,2.676e-06,0.069807,6.348566e-08,0.0,0.0,0.0
2.632e-06,0.451141,6.885687e-08,0.0,0.0,0.0,2.66e-06,0.178971,6.761393e-08,0.0,0.0,0.0
2.68e-06,0.148481,6.263086e-08,0.0,0.0,0.0,2.7e-06,0.161182,7.23003e-08,0.0,0.0,0.0
2.688e-06,0.102849,6.417517e-08,0.0,0.0,0.0,2.708e-06,0.296559,6.27944e-08,0.0,0.0,0.0
2.708e-06,0.068372,6.452688e-08,0.0,0.0,0.0,2.732e-06,0.064925,7.33018e-08,0.0,0.0,0.0
2.644e-06,0.372427,6.26886e-08,0.0,0.0,0.0,2.676e-06,0.1291,6.804754e-08,0.0,0.0,0.0
2.68e-06,0.166055,6.235398e-08,0.0,0.0,0.0,2.708e-06,0.10219,6.467341e-08,0.0,0.0,0.0
2.712e-06,0.057258,7.920906e-08,0.0,0.0,0.0,2.724e-06,0.190034,6.466962e-08,0.0,0.0,0.0
2.672e-06,0.206032,6.494353e-08,0.0,0.0,0.0,2.696e-06,0.103405,6.682094e-08,0.0,0.0,0.0
2.692e-06,0.106257,7.132147e-08,0.0,0.0,0.0,2.708e-06,0.360278,7.253787e-08,0.0,0.0,0.0
2.64e-06,0.336359,6.278506e-08,0.0,0.0,0.0,2.676e-06,0.144257,6.490984e-08,0.0,0.0,0.0
2.636e-06,0.380078,7.087474e-08,0.0,0.0,0.0,2.664e-06,0.229984,7.156654e-08,0.0,0.0,0.0
2.656e-06,0.231265,6.88673e-08,0.0,0.0,0.0,2.684e-06,0.173928,6.140133e-08,0.0,0.0,0.0
2.704e-06,0.078225,6.413549e-08,0.0,0.0,0.0,2.72e-06,0.103559,6.201112e-08,0.0,0.0,0.0
2.688e-06,0.112055,6.881956e-08,0.0,0.0,0.0,2.712e-06,0.061316,6.177787e-08,0.0,0.0,0.0
2.676e-06,0.177474,6.262784e-08,0.0,0.0,0.0,2.692e-06,0.320265,6.593722e-08,0.0,0.0,0.0
2.652e-06,0.290762,6.578585e-08,0.0,0.0,0.0,2.676e-06,0.289522,6.890994e-08,0.0,0.0,0.0
2.712e-06,0.062275,9.494513e-08,0.0,0.0,0.0,2.736e-06,0.070395,6.14271e-08,0.0,0.0,0.0
2.648e-06,0.337486,6.453379e-08,0.0,0.0,0.0,2.668e-06,0.407464,6.518576e-08,0.0,0.0,0.0
2.664e-06,0.280588,6.098381e-08,0.0,0.0,0.0,2.688e-06,0.381556,6.876581e-08,0.0,0.0,0.0
2.716e-06,0.049377,6.125317e-08,0.0,0.0,0.0,2.728e-06,0.323418,6.502109e-08,0.0,0.0,0.0
2.688e-06,0.106743,6.52689e-08,0.0,0.0,0.0,2.712e-06,0.143988,7.332876e-08,0.0,0.0,0.0
2.688e-06,0.140854,5.991142e-08,0.0,0.0,0.0,2.708e-06,0.099831,6.10915e-08,0.0,0.0,0.0
2.676e-06,0.171782,6.340913e-08,0.0,0.0,0.0,2.704e-06,0.081386,6.141784e-08,0.0,0.0,0.0
2.68e-06,0.155229,6.251734e-08,0.0,0.0,0.0,2.7e-06,0.448855,6.839736e-08,0.0,0.0,0.0
2.712e-06,0.051514,5.657065e-08,0.0,0.0,0.0,2.728e-06,0.090183,6.254147e-08,0.0,0.0,0.0
2.696e-06,0.108249,6.637557e-08,0.0,0.0,0.0,2.724e-06,0.074945,8.182889e-08,0.0,0.0,0.0
2.684e-06,0.149846,6.178634e-08,0.0,0.0,0.0,2.708e-06,0.09865,6.029344e-08,0.0,0.0,0.0
2.696e-06,0.112586,5.889096e-08,0.0,0.0,0.0,2.716e-06,0.190596,6.222757e-08,0.0,0.0,0.0
2.688e-06,0.113639,6.603015e-08,0.0,0.0,0.0,2.712e-06,0.102743,6.338595e-08,0.0,0.0,0.0
2.632e-06,0.442158,6.544771e-08,0.0,0.0,0.0,2.66e-06,0.138815,6.446595e-08,0.0,0.0,0.0
2.692e-06,0.124649,5.933484e-08,0.0,0.0,0.0,2.708e-06,0.338489,7.071656e-08,0.0,0.0,0.0
2.704e-06,0.08211,5.770315e-08,0.0,0.0,0.0,2.72e-06,0.117324,6.507049e-08,0.0,0.0,0.0
2.712e-06,0.063214,6.859239e-08,0.0,0.0,0.0,2.732e-06,0.1095,5.930071e-08,0.0,0.0,0.0
2.7e-06,0.088086,5.920149e-08,0.0,0.0,0.0,2.72e-06,0.072374,8.003519e-08,0.0,0.0,0.0
2.68e-06,0.152666,6.298744e-08,0.0,0.0,0.0,2.704e-06,0.204004,6.599433e-08,0.0,0.0,0.0
2.632e-06,0.430206,6.511254e-08,0.0,0.0,0.0,2.656e-06,0.386756,6.743281e-08,0.0,0.0,0.0
2.632e-06,0.309316,6.987635e-08,0.0,0.0,0.0,2.66e-06,0.306272,6.848047e-08,0.0,0.0,0.0
2.66e-06,0.227433,6.866259e-08,0.0,0.0,0.0,2.68e-06,0.19326,7.143372e-08,0.0,0.0,0.0
2.704e-06,0.080278,5.63657e-08,0.0,0.0,0.0,2.724e-06,0.119584,6.49222e-08,0.0,0.0,0.0
2.7e-06,0.080133,6.034137e-08,0.0,0.0,0.0,2.72e-06,0.100536,7.381352e-08,0.0,0.0,0.0
2.688e-06,0.126256,6.261608e-08,0.0,0.0,0.0,2.708e-06,0.216159,6.246072e-08,0.0,0.0,0.0
2.72e-06,0.061916,8.312055e-08,0.0,0.0,0.0,2.724e-06,0.407807,7.137779e-08,0.0,0.0,0.0
2.664e-06,0.141715,7.89293e-08,0.0,0.0,0.0,2.684e-06,0.205334,6.049521e-08,0.0,0.0,0.0
2.692e-06,0.09795,6.929565e-08,0.0,0.0,0.0,2.716e-06,0.105377,6.749411e-08,0.0,0.0,0.0
