MUO_temp_filtered_pulse_data
Ch0_time1 (s),Ch0_amp1 (V),Ch0_width1,Ch0_time2,Ch0_amp2,Ch0_width2,Ch1_time1,Ch1_amp1,Ch1_width1,Ch1_time2,Ch1_amp2,Ch1_width2
5.432E-06,0.246623,6.224498E-08,6.644E-06,0.021063,5.780673E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.436E-06,0.236659,6.840554E-08,6.632E-06,0.025909,5.402048E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.428E-06,0.2791,6.81718E-08,6.624E-06,0.014661,5.634099E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.424E-06,0.269038,6.886092E-08,1.7708E-05,0.037635,5.902293E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.424E-06,0.276946,6.86808E-08,7.664E-06,0.044557,5.57393E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.424E-06,0.266779,6.362377E-08,9.712E-06,0.073496,6.162059E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.432E-06,0.225814,6.882343E-08,6.764E-06,0.01835,5.834092E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.396E-06,0.534574,7.111421E-08,6.572E-06,0.01932,4.997119E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.428E-06,0.278377,6.623908E-08,6.612E-06,0.038125,5.392283E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.432E-06,0.233981,6.501078E-08,8.472E-06,0.020114,5.416147E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.42E-06,0.295494,6.481379E-08,2.0468E-05,0.031135,5.385679E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.404E-06,0.487481,6.764853E-08,6.556E-06,0.029021,5.709528E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.42E-06,0.325396,5.990942E-08,1.5356E-05,0.1448,6.217691E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.42E-06,0.338412,6.470449E-08,8.496E-06,0.039838,6.510883E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.416E-06,0.395826,6.416727E-08,6.624E-06,0.018214,5.576128E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.416E-06,0.343338,6.221123E-08,7.356E-06,0.032953,5.711701E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.416E-06,0.3858,6.946647E-08,6.628E-06,0.022661,5.464226E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.416E-06,0.312916,6.794662E-08,4.11E-05,0.021953,5.834685E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.44E-06,0.202967,7.208398E-08,9.084E-06,0.056106,7.251648E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.416E-06,0.369537,6.428782E-08,8.824E-06,0.061999,5.908858E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.44E-06,0.199359,5.513204E-08,6.932E-06,0.014692,5.159568E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.404E-06,0.485298,7.315572E-08,1.8784E-05,0.127462,6.088692E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.428E-06,0.256388,6.07957E-08,6.64E-06,0.025996,7.767514E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.42E-06,0.291732,6.833449E-08,7.008E-06,0.017448,5.242343E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.42E-06,0.306228,6.533223E-08,6.868E-06,0.021703,5.450087E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.392E-06,0.520433,7.582755E-08,6.652E-06,0.022073,5.486769E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.412E-06,0.422777,6.529996E-08,6.644E-06,0.01801,5.00529E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.432E-06,0.253619,6.125372E-08,4.1444E-05,0.020076,5.406252E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.424E-06,0.284282,6.589921E-08,6.624E-06,0.016881,5.348092E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.416E-06,0.34556,6.597683E-08,6.584E-06,0.033986,5.290703E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.428E-06,0.267778,6.934549E-08,6.688E-06,0.01949,5.382688E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.408E-06,0.43501,6.580721E-08,7.824E-06,0.024739,5.47705E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.412E-06,0.359648,7.058464E-08,6.772E-06,0.016094,5.793596E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.424E-06,0.289951,6.659684E-08,8.26E-06,0.028529,5.72359E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.412E-06,0.410943,6.590089E-08,7.66E-06,0.031192,9.337201E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.436E-06,0.192274,6.868644E-08,6.64E-06,0.022279,5.584471E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.428E-06,0.270981,7.393556E-08,6.616E-06,0.018675,5.449947E-08,0.0,0.0,0.0,0.0,0.0,0.0
